date,AAASPR,BAASPR,CAPUTIL,COMMCRB,CONSGOVT,CONSPRIV,CONSSENT,CPAPERSPR,DEBTGOVT,DISPINC,DIVYIELD,EARNINGS,ECONSENT,EMPL,EXCHTRW,EXPORT,FEDFUNDS,GDP,HOURS,HOUSEPERMIT,HOUSEPRICE,HOUSESTART,IMPORT,INDPRO,INVENTO,INVESTM,LIABCORP,LIABHH,LOANSCORP,LOANSHH,NWCORP,NWHH,ORDERNEW,ORDERUNFIL,PCEPRICE,PMI,RETAIL,SHORTSPR,STOCKPRICE,STOCKVOL,TERMSPR,ULC,UNRATE,VXO
01apr2012,1.9766999,3.27,77.125298,-.059841741,-.52432299,.14827038,65.26666666666667,.12,.73944855,.9050104,.066400051,.046557806,-2.533333333333333,.31331229,1.460533,1.0844095,.050000004,.42927676,.12650041,2.8835549,-.82757002,4.424685,.49125648,.63446891,1.1231155,2.2763581,.23682076,-.66861385,2.7382307,.47580966,1.2454319,-.45703584,-2.7456791,.86023051,-.24363996,51.93333333333334,-.16633317,-.066600002,.21918848,.028752949,1.7366,.065605693,-.066699982,19.675501
01jul2012,1.8134,3.23,76.7388,.072502531,-.15376253,.16303644,65.03333333333335,.1,.66579437,-.71840692,.0062999725,.037306037,-4.966666666666667,.30587932,.14718254,.51964182,-.010000005,.13485941,.47146121,12.036368,.99548721,5.3972301,.53352082,.010197747,1.4569523,.45275277,1.7585403,.024790877,2.7723627,-.011755018,.30233353,2.5112932,-2.1414175,.43120641,-.12773493,50.66666666666666,.79637349,-.039999999,3.7658432,-.1334829,1.5400001,.30625203,-.16669941,14.9474
01oct2012,1.8333,2.8666,76.769402,-.04515861,-.99196595,.44719198,70.43333333333334,.1,1.6258545,2.7326143,.084300041,-.037141662,-3.1,.3900021,-1.1862897,-.12741388,.0167,.11380663,.50999278,4.6988511,.360719,15.152323,-.96772373,.5230661,.49623793,-.89332396,.46377957,-.12031718,2.0316305,-.20943525,-1.7212509,.96283716,3.0873294,.57472515,.15731674,49.79999999999999,1.4273044,-.073299997,1.1338838,-.003448698,1.62,2.9671035,-.23330021,16.4753
01jan2013,1.9266999,2.8599999,77.030899,-.0049344082,-.90003866,.51719826,62.76666666666667,.079999998,.76628876,-4.0844216,-.063299894,.32427701,-1.633333333333334,.47116926,2.2092011,1.1340346,-.0167,.88177705,.44016275,3.964097,.11888948,4.8720217,.29194954,.77969664,1.2311728,3.6607995,2.1739938,-.6660642,1.7582617,.054904297,-.43121994,3.4085577,-1.5943812,.93625402,-.045410372,52.53333333333333,1.7411181,-.056599997,6.5700974,.034856398,1.8633001,-2.0350018,-.066699982,12.9322
01apr2013,1.9665999,2.8399999,77.075699,-.097980961,-.17685227,.071945406,75.13333333333334,.1,-.61442566,.74224782,-.058500051,.15617362,4.433333333333334,.43101215,2.1326861,1.1949565,-.026599996,.12331931,.35250932,3.4753218,1.2382002,-9.3772879,1.4342391,.42909807,.73990214,1.1124622,.8453114,-.21623147,1.0893922,.7708295,2.8416622,1.2576363,4.7978134,.84937096,-.085833184,50.56666666666666,-.14691754,-.066699997,6.0997186,.13175593,1.9467001,1.0793741,-.20000029,14.4551
01jul2013,1.7967,2.6932998,77.1222,.033802096,-.5394839,.40590549,81,.090000004,-1.2596436,.43140724,-.012399912,.1445635,14.96666666666667,.38475302,.024843391,.62481087,-.033399999,.78036761,.49654725,.27017504,1.1541148,1.6378176,.71894634,.3561146,1.5577221,3.7957218,2.110023,.17366661,1.0529454,.21712762,3.3617351,2.932152,-4.0642838,1.3386333,.075486965,54.73333333333333,.92785275,-.050000001,3.99089,-.12837835,2.6767001,-.7381441,-.29999971,13.9971
01oct2013,1.8465998,2.6099999,77.452003,-.018572349,-.78840476,.85798091,73.96666666666667,.059999999,1.0834656,.39430252,-.06490016,.084771536,7.266666666666666,.46151569,-.98512608,2.8864636,.0033999979,.79507309,.36028647,3.8052664,.34740683,13.414513,.5457924,.68209976,1.640398,.36217135,2.2814682,.10521004,1.1778895,-.14688592,.73305911,2.5273566,3.3460662,1.2042328,.089984059,55.83333333333334,.73402905,-.023400001,5.5233498,.067758873,2.6834002,-.038741317,-.30000019,12.6627
01jan2014,1.6767001,2.3534002,77.843201,.098081827,-.41472411,.39314929,80.53333333333335,.079999998,2.4765167,1.3833227,-.013199925,.47320989,9.933333333333334,.36797544,1.4688636,-.70871818,-.013400003,-.28310782,.49037731,.32414147,.54215568,-7.7238584,1.1270487,.76745898,.80953085,-1.1155523,.32171321,-.59679478,3.004384,.056750659,-.34647435,1.4843862,-1.4837136,1.1703362,-.14691624,53.86666666666667,.75516587,-.026599996,3.5432835,.097694442,2.7165999,2.9167454,-.26660013,13.7888
01apr2014,1.5934,2.1967001,78.638603,-.028367097,.1254164,1.0889581,83.43333333333334,.079999998,-1.7582169,1.3529314,-.0055000782,-.061698865,16.5,.5826391,-.70750064,2.1397772,.020000003,1.3446043,.71997112,.452059,1.4254206,5.5193601,2.5088725,1.328535,.97734964,4.1335649,1.5405298,.4614678,2.6047847,1.1467127,.81662911,1.6614289,2.0876033,1.3138298,.13981701,55.53333333333333,2.4104233,-.059999999,3.5383778,-.023655247,2.5900002,-1.4687861,-.46670008,11.1263
01jul2014,1.6200001,2.2432997,78.798698,-.10750207,.66707778,1.0702806,90.90000000000002,.1,-.56761932,1.1605735,-.017999887,.16438533,22.16666666666667,.5366869,1.9227898,.4448972,-.0032999963,1.2135392,.66113311,2.9208272,1.0543802,4.3291159,.25707477,.59108543,.94013023,2.0250804,1.3612788,.40421462,2.4177909,1.0633153,1.4390804,.16672978,7.7929521,5.3974571,-.09858574,56.26666666666667,.85389107,-.063300006,3.9000602,-.038824141,2.47,-.29126266,-.13329983,12.6057
01oct2014,1.5967,2.4599998,79.001198,-.08933039,-.048256323,1.205426,92.73333333333333,.11,1.055336,1.3130122,.016299963,.096849971,25.06666666666666,.57854766,5.8921633,.96077377,.0099999979,.56121278,1.1150268,1.2438123,.55621082,1.7949044,2.4017432,.65402985,.8568846,.10843261,3.3242624,.23892783,2.0647728,.70362091,.2929768,1.8833419,-11.304814,-.39547849,-.095869042,56.06666666666666,.43040138,-.076700002,1.8096576,.18647449,2.2567,1.5175501,-.36670017,14.9031
01jan2015,1.6033,2.5332999,78.141296,-.06996683,.51114053,.8272711,101.3333333333333,.12,-.69976044,1.1292943,.010200024,.36296952,10.23333333333333,.48317671,8.0025921,-1.1182674,.0099999979,.781762,.21129897,.70822501,.83453858,-6.7677612,1.6927924,-.76721025,1.4272637,3.0827854,2.4349113,-.3327181,3.1732543,.50348651,3.878525,2.0011737,-1.3915592,-1.0757921,-.09153039,52.96666666666667,-.526905,-.083300002,2.5235114,-.04126621,1.9399999,.56813014,-.16669989,15.3614
01apr2015,1.73,2.6666002,76.920898,.038238261,.98674315,.79281551,96.23333333333333,.13,-1.3034515,.74958336,.015299916,.19662601,7.966666666666666,.49827933,.49864689,.95682043,.013300002,.73862988,.48816118,15.305429,1.2920196,16.535309,.68067127,-1.3518348,1.46517,.078323945,1.7518632,.55714071,2.4596043,1.0721903,1.0185406,.060212757,-.69238687,-1.4439638,.24298169,52.33333333333334,1.6771243,-.10330001,1.852093,-.0090661123,2.1466999,.35811982,-.099999905,14.1944
